Year,Visitors_Raw,Visitors_Smoothed,Glacier_Retreat,Temperature,HPI,Growth_Rate_Smoothed,Visitors_Smoothed_ZScore,Glacier_Retreat_ZScore,Temperature_ZScore,HPI_ZScore
2000,64.05,67.06,35,3.39,142.5,0.0,-1.5281556980067985,-1.0006932409844742,-0.8108490214259236,-1.4286165419805734
2001,69.07,70.68,32,2.83,148.2,5.3981509096331814,-1.3786959536268917,-1.0796953389569328,-1.1792971324276416,-1.3611217282307453
2002,74.18,74.62,40,3.83,155.8,5.574419920769658,-1.2160242981415792,-0.8690230776970435,-0.5213540770674309,-1.271128643230974
2003,77.69,78.65,38,3.94,165.4,5.400696864111509,-1.049636792657871,-0.9216911430120158,-0.44898034097780776,-1.1574531674417898
2004,80.72,82.87,42,3.61,178.9,5.3655435473617175,-0.8754047149553279,-0.8163550123820711,-0.6661015492466774,-0.9975970296132495
2005,92.11,87.52,45,3.89,201.3,5.611198262338601,-0.6834191317048958,-0.7373529144096126,-0.4818774937458182,-0.7323542527718194
2006,95.14,91.25,48,2.11,215.6,4.261882998171851,-0.5294177928825057,-0.6583508164371541,-1.6530161322869936,-0.5630251586275138
2007,101.73,94.2,50,2.67,228.4,3.2328767123287694,-0.40762048737954304,-0.6056827511221818,-1.2845680212852755,-0.4114578575752679
2008,103.23,95.64,52,1.44,235.1,1.5286624203821653,-0.3481668874052156,-0.5530146858072095,-2.0938379793783346,-0.33212184843073317
2009,101.73,95.57,55,3.78,238.9,-0.07319113341698325,-0.35105699295952353,-0.474012587834751,-0.5542512298354416,-0.28712530593084756
2010,87.73,94.27,58,5.28,242.1,-1.3602594956576342,-0.40473038182523574,-0.3950104898622925,0.43266335320487487,-0.24923348066778628
2011,87.55,94.27,60,3.67,245.8,0.0,-0.40473038182523574,-0.34234242454732017,-0.6266249659250647,-0.2054210577073713
2012,92.64,95.62,62,3.56,251.2,1.4320568579611948,-0.34899263184930335,-0.2896743592323478,-0.6989987020146878,-0.14147860257595538
2013,95.44,97.57,65,5.11,258.4,2.0393223175067865,-0.26848254855073533,-0.21067226125988933,0.32081303379363907,-0.05622199573406729
2014,96.1,99.94,68,6.28,262.1,2.429025315158362,-0.17063183192632117,-0.13167016328743084,1.0906064085650857,-0.01240957277365197
2015,98.3,103.08,72,6.33,268.5,3.1418851310786478,-0.040989954204523726,-0.026334032657486166,1.1235035613330961,0.06337407775247063
2016,101.5,107.18,75,6.67,275.2,3.977493209157945,0.1282876568334924,0.05266806531497233,1.3472042001555677,0.14271008689700537
2017,107.2,112.41,78,5.72,282.4,4.879641724202277,0.34421982896247305,0.13167016328743084,0.7221582975633672,0.22796669373889347
2018,115.1,118.69,82,6.17,291.8,5.586691575482616,0.6035035844060679,0.2370062939173755,1.0182326724754622,0.33927393044913684
2019,130.6,125.68,88,6.72,305.6,5.889291431460109,0.8921012676147829,0.3950104898622925,1.3801013529235782,0.5026824268960894
2020,0.0,131.69,95,5.5,320.1,4.78198599618076,1.140237473063191,0.5793487184646956,0.5774108253841211,0.6743797601193365
2021,11.7,137.69,110,5.28,358.9,4.556154605512952,1.3879608062895556,0.9743592083269881,0.43266335320487487,1.1338181414339559
2022,116.7,143.7,135,5.56,412.5,4.364877623647323,1.6360970117379636,1.6327100247641422,0.6168874087057334,1.7685062145902353
2023,167.0,149.71,165,6.0,438.2,4.182324286708439,1.884233217186373,2.4227310044887274,0.9063823530642264,2.0728249362341975
2024,165.0,152.26,175,6.22,455.8,1.703293033197495,1.9895156338075772,2.6860713310635886,1.0511298252434726,2.2812299751810357
