softmax_temp,likelihood_temp,mean_consistency,std_consistency,hard_accuracy,n_weeks
0.5,0.05,0.7006643188343663,0.3175437081469144,0.9393939393939394,33
0.5,0.08,0.6487484158334826,0.3531434669589921,0.9696969696969697,33
0.5,0.1,0.6202494744944238,0.372036509804583,0.9696969696969697,33
0.5,0.15,0.5983914810559147,0.40213855695825035,0.9696969696969697,33
0.5,0.2,0.5809854247441364,0.4139524155639554,0.9696969696969697,33
0.8,0.05,0.7085962060001678,0.32297882366645236,0.9696969696969697,33
0.8,0.08,0.6216647978967756,0.37055739757229705,0.9696969696969697,33
0.8,0.1,0.6131600327868895,0.3920279469451491,0.9696969696969697,33
0.8,0.15,0.5684696147467896,0.4063977472156524,0.9696969696969697,33
0.8,0.2,0.5699483500609915,0.42178957162702396,0.9393939393939394,33
1.0,0.05,0.6728617815378272,0.3344803309786117,0.9696969696969697,33
1.0,0.08,0.6228389705849503,0.38506379395673795,0.9696969696969697,33
1.0,0.1,0.6019884563962132,0.399736128614879,0.9696969696969697,33
1.0,0.15,0.5763988364758952,0.4178199051766679,0.9393939393939394,33
1.0,0.2,0.565139083246528,0.4258432979276332,0.9393939393939394,33
1.2,0.05,0.6402786562712101,0.3417940046625684,0.9090909090909091,33
1.2,0.08,0.5963816406607931,0.38721843276775914,0.9090909090909091,33
1.2,0.1,0.5779963441295384,0.3997466682674066,0.9090909090909091,33
1.2,0.15,0.5710302078142598,0.42178970442708935,0.9393939393939394,33
1.2,0.2,0.5615047002430413,0.4286434815721865,0.9090909090909091,33
1.5,0.05,0.649366128789266,0.36526225096703907,0.9696969696969697,33
1.5,0.08,0.5984658929323678,0.40201897972305917,0.9393939393939394,33
1.5,0.1,0.583169250692906,0.41302424540145877,0.9393939393939394,33
1.5,0.15,0.5652504915509197,0.4261387551700296,0.9090909090909091,33
1.5,0.2,0.5431178771434199,0.42469854894503295,0.7878787878787878,33
