Country,Rank_2035_baseline,Score_2035_baseline,Rank_2035_invest,Score_2035_invest,Rank_change,Score_change
USA,1,99.60479336661263,1,99.60479336661263,0,0.0
China,2,96.9777249901932,2,97.0436387918093,0,0.06591380161610516
UAE,3,91.8375270658807,3,91.8375270658807,0,0.0
UK,4,91.793332924949,4,91.793332924949,0,0.0
France,5,89.96617611202346,5,89.96617611202346,0,0.0
South Korea,6,89.7532636799055,6,89.7532636799055,0,0.0
Germany,7,88.74847409922401,7,88.74847409922401,0,0.0
Canada,8,88.20646002242277,8,88.20646002242277,0,0.0
India,9,85.94819998613323,9,85.94819998613323,0,0.0
Japan,10,84.81139522963971,10,84.81139522963971,0,0.0
