from,to,weight
0,8,2
0,10,2
0,25,3
1,0,2
1,5,2
1,8,3
1,10,2
1,11,3
1,17,2
1,23,2
1,25,3
1,27,4
1,29,3
1,31,2
1,35,3
1,38,2
1,47,2
1,50,4
1,53,2
1,57,3
2,0,2
2,1,5
2,3,2
2,11,3
2,17,2
2,25,2
2,27,2
2,28,2
2,31,3
2,33,3
2,41,2
2,50,2
2,56,2
2,57,3
3,0,2
3,11,2
3,40,2
4,0,3
4,1,3
4,5,3
4,6,2
4,8,3
4,10,3
4,15,2
4,17,3
4,22,2
4,25,4
4,27,2
4,31,2
4,34,3
4,35,2
4,36,2
4,38,2
4,39,3
4,40,2
4,41,2
5,8,3
5,9,2
5,24,4
5,27,2
5,38,2
6,5,5
6,14,2
6,27,2
7,5,3
7,9,2
7,47,2
8,9,3
8,27,6
8,31,3
8,43,2
9,27,2
9,38,2
10,5,2
10,8,3
10,9,3
10,31,2
10,36,2
11,5,2
11,10,3
11,35,3
11,36,3
11,39,2
12,1,4
12,2,5
12,3,2
12,11,4
12,17,2
12,18,2
12,19,2
12,26,2
12,27,2
12,31,2
12,43,3
12,50,2
13,4,3
13,15,5
13,27,2
13,34,2
13,39,2
13,42,2
13,47,2
13,53,2
14,5,2
14,8,2
15,24,2
15,47,3
17,5,3
17,6,3
17,10,2
17,11,2
17,21,3
17,31,3
17,40,2
17,47,3
17,56,3
17,57,2
18,1,4
18,2,3
18,4,3
18,5,3
18,8,4
18,10,2
18,11,2
18,17,4
18,19,2
18,25,2
18,27,3
18,31,2
18,35,2
18,39,2
18,40,2
18,47,2
19,1,2
19,2,2
19,4,2
19,11,2
19,23,2
19,25,6
19,27,4
19,28,2
19,29,3
19,35,5
21,10,3
21,27,2
21,31,2
22,5,4
22,9,4
22,14,2
22,21,2
22,23,3
22,24,2
22,27,3
22,29,5
22,38,3
22,39,2
22,40,3
22,57,2
23,5,2
23,8,2
23,24,2
23,27,4
23,36,2
25,8,3
25,10,2
25,23,3
25,24,2
25,27,4
25,31,2
25,38,2
25,39,2
25,43,2
25,56,2
26,4,2
26,22,2
26,28,2
26,50,3
26,56,2
28,0,2
28,4,2
28,5,3
28,9,5
28,10,3
28,14,4
28,17,4
28,21,3
28,22,15
28,23,3
28,27,3
28,29,4
28,32,2
28,33,3
28,34,2
28,38,4
28,40,3
28,47,2
28,50,2
28,56,2
28,57,4
29,9,2
29,11,2
29,14,2
29,17,2
29,25,2
29,27,2
29,35,2
31,27,3
31,43,2
32,9,3
32,10,2
32,36,2
33,5,2
33,8,2
33,9,2
33,10,2
33,11,2
33,14,2
33,27,2
33,34,2
34,10,2
34,15,2
34,41,2
34,43,2
34,47,4
35,10,2
35,25,4
35,27,2
35,31,2
35,36,3
39,10,2
40,9,3
40,25,2
40,38,2
40,39,2
40,56,3
41,5,3
41,39,4
41,56,2
43,27,2
47,5,5
47,24,4
47,37,2
50,9,2
50,10,3
50,15,2
50,17,2
50,34,2
50,43,3
50,47,2
50,56,3
50,57,6
53,5,3
53,6,4
53,15,2
53,17,2
53,24,2
53,25,2
53,34,3
53,35,2
53,40,3
53,41,2
53,47,4
53,56,2
56,8,2
56,9,2
56,10,3
56,31,2
56,43,3
57,5,2
57,9,2
57,10,3
57,23,2
57,27,3
57,56,2
